Start date,End date,Market State,Market sentiment
2016-04-12,2016-11-07,China Growth Slowdown Recovery,neutral
2016-11-08,2018-01-26,Post-Election Corporate Tax Cut Rally,bull
2018-01-27,2018-12-24,US-China Trade War & Rate Hike Correction,bear
2018-12-25,2020-02-19,Dovish Fed Pivot & Pre-Pandemic Expansion,bull
2020-02-20,2020-03-23,COVID-19 Pandemic Global Crash,bear
2020-03-24,2022-01-03,"Stimulus-Driven ""Everything Bubble""",bull
2022-01-04,2022-10-12,Inflation Surge & Fed Quantitative Tightening,bear
2022-10-13,2025-04-01,AI Revolution & Tech-Led Expansion,bull
2025-04-02,2025-04-10,"""Liberation Day"" Tariff Shock",bear
2025-04-11,2026-01-27,"Late-Cycle Speculative Surge (S&P 7,000)",bull
2026-01-28,2026-04-12,Iran Conflict & Energy Supply Shock,bear
